Price,Close,High,Low,Open,Volume
Ticker,6758.T,6758.T,6758.T,6758.T,6758.T
Date,,,,,
2021-08-26,2203.362548828125,2254.0818283938897,2188.731987414924,2254.0818283938897,15094500
2021-08-27,2190.682373046875,2199.4607084687013,2162.396625576546,2178.977925817773,11419500
2021-08-30,2191.657958984375,2210.1900022512655,2177.027398510514,2200.4362952686915,13958000
2021-08-31,2216.042236328125,2232.6235382724817,2175.0766668185383,2193.6087101681132,17391500
2021-09-01,2231.64794921875,2251.1553613622705,2220.9188725398135,2221.8942431469895,12251500
2021-09-02,2262.860107421875,2265.7862196297483,2244.328063438679,2251.1556585903827,12647000
2021-09-03,2317.480712890625,2340.8896089804293,2264.8106966885653,2277.490515403876,25384000
2021-09-06,2331.135986328125,2340.889693383891,2305.776347983133,2333.086727739278,15437500
2021-09-07,2337.96337890625,2383.8057981004904,2325.2835608312475,2340.889490769712,22554000
2021-09-08,2335.037353515625,2336.0127241728997,2298.948639196461,2316.5053110274057,17460500
2021-09-09,2350.643310546875,2350.643310546875,2321.3821904985734,2326.259043839957,19222500
2021-09-10,2386.731689453125,2398.4361358255965,2365.273537770261,2379.90409573585,24081500
2021-09-13,2385.756591796875,2385.756591796875,2340.889542237326,2341.864912879925,14001000
2021-09-14,2409.1650390625,2410.140409523659,2383.8054070723683,2399.411334450911,15795000
2021-09-15,2374.052490234375,2413.0673216268874,2367.224894740685,2407.2150969180107,15190000
2021-09-16,2393.559326171875,2409.1652549488717,2365.2735802635684,2386.731732331939,14949500
2021-09-17,2402.338134765625,2409.1657299517233,2373.0770125394906,2405.2642469882385,22032500
2021-09-21,2407.214599609375,2420.8697877757168,2346.7416234441475,2358.446070443869,24326500
2021-09-22,2411.1162109375,2431.598994282843,2381.8550918727246,2396.4856514051125,17833000
2021-09-24,2535.964111328125,2535.964111328125,2455.008333928035,2469.638896108774,34410000
2021-09-27,2529.1357421875,2574.9781563343618,2528.1603716737372,2573.027415306836,19120000
2021-09-28,2520.35791015625,2534.0131000719575,2477.4415989925988,2516.456427323191,20668000
2021-09-29,2432.369873046875,2475.386060512334,2402.0630136962104,2470.497857391259,24996000
2021-09-30,2435.302978515625,2449.967588984406,2400.1079133905496,2429.4371343281123,19095500
2021-10-01,2362.957763671875,2414.7727249770505,2354.1589966577885,2398.152831728221,19180500
2021-10-04,2340.471923828125,2403.040930981425,2328.740234986881,2387.3986791930997,15925000
2021-10-05,2304.29931640625,2325.8074135470806,2281.8135784862907,2302.3440348479926,17074000
2021-10-06,2273.014892578125,2350.248516885081,2251.506794669859,2304.2993986265124,18313500
2021-10-07,2286.701416015625,2305.2765878430287,2268.1262441882213,2277.9026504131707,11761500
2021-10-08,2318.963623046875,2344.3822799605423,2305.2766539395157,2319.9412636974007,14943000
2021-10-11,2421.6162109375,2422.5938517170466,2344.3825893533003,2364.913045723784,16515000
2021-10-12,2410.862060546875,2460.7217381980877,2402.063293902543,2449.967690077238,14713000
2021-10-13,2416.72802734375,2418.6833089192705,2388.3764444986978,2404.0186971028643,14348000
2021-10-14,2454.85595703125,2454.85595703125,2424.5490933641972,2433.347860235277,13652000
2021-10-15,2520.35791015625,2532.089599419972,2487.118123909038,2512.5367839804353,20703000
2021-10-18,2479.296875,2503.737893089511,2467.5651863170347,2500.80497091877,14345500
2021-10-19,2490.051025390625,2514.4920444855466,2475.386413933672,2480.274617752656,11966000
2021-10-20,2506.6708984375,2534.044839606084,2496.8944908772914,2520.3578690217923,15883000
2021-10-21,2476.3642578125,2509.60404650797,2466.587849372656,2491.028870472266,12167500
2021-10-22,2505.693359375,2507.6486409663967,2470.4982907298577,2491.028747439524,11423500
2021-10-25,2554.574951171875,2554.574951171875,2511.5587637047634,2517.4246074502785,19469000
2021-10-26,2622.0322265625,2622.0322265625,2571.194912699245,2579.0160379089766,22659000
2021-10-27,2562.396240234375,2611.278274576885,2536.9775823762698,2599.5465863346826,17013000
2021-10-28,2521.335205078125,2547.731502300734,2499.8271110448877,2503.7376735963853,15411500
2021-10-29,2569.239501953125,2639.6296252943066,2518.4021906511607,2638.6519846923456,29758500
2021-11-01,2708.064453125,2760.8570453519856,2688.5116411890795,2717.8408590929603,33700000
2021-11-02,2713.930419921875,2743.259639157342,2687.5341226099545,2698.2881696629593,19071000
2021-11-04,2736.416259765625,2744.2373851954662,2698.2882732951502,2717.8410868697524,18964000
2021-11-05,2746.192626953125,2749.125548947023,2710.9975630263493,2717.841047678778,13925000
2021-11-08,2734.461181640625,2785.298500712957,2709.042522104459,2758.9022004253998,14323000
2021-11-09,2708.064453125,2754.9912017712095,2708.064453125,2736.416030432085,11545500
2021-11-10,2683.6240234375,2719.7967334073314,2678.7358193875225,2710.020325307377,12054500
